locustag;genename;annotation;KEGG Orthology;database;MainCategory;MainPathway;Category;undefined;Pathway;Complex/Type;Details;Summary
sll0822;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0827;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0837;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0839;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0843;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0846;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0847;;sll0847 unknown protein;"K00389 yidH; putative membrane protein";syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;General function prediction only;;Not Included in Pathway or Brite - Poorly characterized - General function prediction only
sll0853;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0854;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0857;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0858;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0860;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0862;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0864;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0867;NA;sll0867 unknown protein;"K07079 K07079; uncharacterized protein";syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0871;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0872;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0875;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0877;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0886;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0888;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0909;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0910;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0913;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0914;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0922;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0924;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0925;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0930;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0931;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0932;;sll0932 unknown protein;"K07089 K07089; uncharacterized protein";syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0933;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0943;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0944;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0980;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0981;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0983;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0994;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0995;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll0997;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll1006;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll1011;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll1022;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll1025;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll1036;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll1037;;sll1037 unknown protein;"K07080 K07080; uncharacterized protein";syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll1039;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
sll1049;Manually added;;;syn00001 KEGG Orthology;Not Included in Pathway or Brite;Poorly characterized;Not Included in Pathway or Brite;;Poorly characterized;Function unknown;;Not Included in Pathway or Brite - Poorly characterized - Function unknown
